dataset	sample	cell_type	selection	n_cells	gene	fraction_detected	mean_logcp10k
GSE174574	GSM5319988	Endothelial	reference_added	2847	Tyrobp	0.22233930453108536	0.40034299388434463
GSE174574	GSM5319988	Endothelial	reference_added	2847	Lyz2	0.23182297154899895	0.4252744347078962
GSE174574	GSM5319988	Endothelial	reference_added	2847	C1qa	0.4885844748858447	0.9385527994641389
GSE174574	GSM5319988	Endothelial	reference_added	2847	Rgs5	0.10291534949069196	0.19384663235634153
GSE174574	GSM5319988	Endothelial	reference_added	2847	Pdgfrb	0.016157358623112048	0.026347501246018607
GSE174574	GSM5319988	Endothelial	reference_added	2847	Acta2	0.2054794520547945	0.36233632755524847
GSE174574	GSM5319988	Endothelial	reference_added	2847	Plp1	0.2880224798033017	0.5147391904470223
GSE174574	GSM5319988	Endothelial	reference_added	2847	Mbp	0.10818405338953284	0.18717774016883365
GSE174574	GSM5319988	Endothelial	reference_added	2847	Snap25	0.0017562346329469617	0.002882631422271016
GSE174574	GSM5319988	Endothelial	original_not_retained	96	Aldh1l1	0.0	0.0
GSE174574	GSM5319988	Endothelial	original_not_retained	96	Slc1a3	0.09375	0.165830903369618
GSE174574	GSM5319988	Endothelial	original_not_retained	96	Slc1a2	0.052083333333333336	0.08319537686700997
GSE174574	GSM5319988	Endothelial	original_not_retained	96	Gja1	0.07291666666666667	0.13404072135598835
GSE174574	GSM5319988	Endothelial	original_not_retained	96	Glul	0.7291666666666666	1.7910029544090644
GSE174574	GSM5319988	Endothelial	original_not_retained	96	Sox9	0.0625	0.10039768045127079
GSE174574	GSM5319988	Endothelial	original_not_retained	96	Aldoc	0.0625	0.09910535609523945
